Player,Team,Salary,Color,Player,Team
PP Chawla,Mumbai Indians,"$342,900","342,900",PP Chawla,Mumbai Indians
Q de Kock,Mumbai Indians,"$437,500","437,500",Q de Kock,Mumbai Indians
RD Chahar,Mumbai Indians,"$296,880","296,880",RD Chahar,Mumbai Indians
RG Sharma,Mumbai Indians,"$2,343,750","2,343,750",RG Sharma,Mumbai Indians
SA Yadav,Mumbai Indians,"$500,000","500,000",SA Yadav,Mumbai Indians
SS Tiwary,Mumbai Indians,"$71,400","71,400",SS Tiwary,Mumbai Indians
TA Boult,Mumbai Indians,"$460,000","460,000",TA Boult,Mumbai Indians
Arshdeep Singh,Punjab Kings,"$28,600","28,600",Arshdeep Singh,Punjab Kings
CH Gayle,Punjab Kings,"$312,500","312,500",CH Gayle,Punjab Kings
CJ Jordan,Punjab Kings,"$428,600","428,600",CJ Jordan,Punjab Kings
Darshan Nalkande,Punjab Kings,"$42,900","42,900",Darshan Nalkande,Punjab Kings
DJ Hooda,Punjab Kings,"$71,400","71,400",DJ Hooda,Punjab Kings
DJ Malan,Punjab Kings,"$214,300","214,300",DJ Malan,Punjab Kings
FA Allen,Punjab Kings,"$107,100","107,100",FA Allen,Punjab Kings
Harpreet Brar,Punjab Kings,"$28,600","28,600",Harpreet Brar,Punjab Kings
JA Richardson,Punjab Kings,"$2,000,000","2,000,000",JA Richardson,Punjab Kings
Jalaj S Saxena,Punjab Kings,"$42,900","42,900",Jalaj S Saxena,Punjab Kings
KL Rahul,Punjab Kings,"$1,718,750","1,718,750",KL Rahul,Punjab Kings
M Ashwin,Punjab Kings,"$28,600","28,600",M Ashwin,Punjab Kings
M Shahrukh Khan,Punjab Kings,"$750,000","750,000",M Shahrukh Khan,Punjab Kings
MA Agarwal,Punjab Kings,"$156,250","156,250",MA Agarwal,Punjab Kings
Mandeep Singh,Punjab Kings,"$218,750","218,750",Mandeep Singh,Punjab Kings
MC Henriques,Punjab Kings,"$600,000","600,000",MC Henriques,Punjab Kings
Mohammed Shami,Punjab Kings,"$685,700","685,700",Mohammed Shami,Punjab Kings
N Pooran,Punjab Kings,"$600,000","600,000",N Pooran,Punjab Kings
Prabhsimran Singh,Punjab Kings,"$78,600","78,600",Prabhsimran Singh,Punjab Kings
Ravi Bishnoi,Punjab Kings,"$285,700","285,700",Ravi Bishnoi,Punjab Kings
RP Meredith,Punjab Kings,"$1,142,900","1,142,900",RP Meredith,Punjab Kings
Saurabh Kumar,Punjab Kings,"$28,600","28,600",Saurabh Kumar,Punjab Kings
SN Khan,Punjab Kings,"$35,700","35,700",SN Khan,Punjab Kings
Utkarsh Singh,Punjab Kings,"$28,600","28,600",Utkarsh Singh,Punjab Kings
AJ Tye,Rajasthan Royals,"$142,900","142,900",AJ Tye,Rajasthan Royals
Akash Singh,Rajasthan Royals,"$28,600","28,600",Akash Singh,Rajasthan Royals
Anuj Rawat,Rajasthan Royals,"$114,300","114,300",Anuj Rawat,Rajasthan Royals
BA Stokes,Rajasthan Royals,"$1,953,130","1,953,130",BA Stokes,Rajasthan Royals
C Sakariya,Rajasthan Royals,"$171,400","171,400",C Sakariya,Rajasthan Royals
CH Morris,Rajasthan Royals,"$2,321,400","2,321,400",CH Morris,Rajasthan Royals
DA Miller,Rajasthan Royals,"$107,100","107,100",DA Miller,Rajasthan Royals
E Lewis,Rajasthan Royals,"$593,750","593,750",E Lewis,Rajasthan Royals
JC Archer,Rajasthan Royals,"$1,125,000","1,125,000",JC Archer,Rajasthan Royals
JC Buttler,Rajasthan Royals,"$687,500","687,500",JC Buttler,Rajasthan Royals
JD Unadkat,Rajasthan Royals,"$428,600","428,600",JD Unadkat,Rajasthan Royals
Kartik Tyagi,Rajasthan Royals,"$185,700","185,700",Kartik Tyagi,Rajasthan Royals
KC Cariappa,Rajasthan Royals,"$28,600","28,600",KC Cariappa,Rajasthan Royals
LS Livingstone,Rajasthan Royals,"$107,100","107,100",LS Livingstone,Rajasthan Royals
M Markande,Rajasthan Royals,"$290,000","290,000",M Markande,Rajasthan Royals
M Vohra,Rajasthan Royals,"$28,600","28,600",M Vohra,Rajasthan Royals
MK Lomror,Rajasthan Royals,"$31,250","31,250",MK Lomror,Rajasthan Royals
Mustafizur Rahman,Rajasthan Royals,"$142,900","142,900",Mustafizur Rahman,Rajasthan Royals
O Thomas,Rajasthan Royals,"$71,400","71,400",O Thomas,Rajasthan Royals
R Parag,Rajasthan Royals,"$28,600","28,600",R Parag,Rajasthan Royals
